1972;90;Scarlet Letter, The;Drama;55
1935;75;Count of Old Town, The;Comedy;72
1978;97;Autumn Sonata;Drama;49
1944;114;Gaslight;Drama;25
1958;100;Indiscreet;Drama;1
1941;75;Walpurgis Night;Drama;32
1948;100;Joan of Arc;Drama;7
1982;195;A Woman Called Golda;Drama;15
1969;98;A Walk in the Spring Rain;Drama;2
1949;117;Under Capricorn;Drama;74
1946;101;Notorious;Mystery;42
1940;90;June Night;Drama;14
1961;120;Goodbye Again;Drama;6
1956;106;Anastasia;Drama;24
1945;126;Bells of St. Mary's, The;Drama;31
1937;91;Intermezzo;Drama;32
1938;104;A Woman's Face;Drama;49
1935;90;Swedenhielms;Drama;88
1939;87;Only One Night;Drama;26
1938;74;Dollar;Drama;19
1956;98;Elena & Her Men;Drama;33
1952;110;Europa Fifty-One;Drama;34
1953;83;Voyage in Italy;Drama;57
1954;81;Fear;Drama;69
1950;107;Stromboli;Drama;69
1969;103;Cactus Flower;Comedy;67
1989;105;Hideaways;Comedy;16
1990;90;Twenty Four Hours in a Woman's Life;Drama;16
1987;91;Programmed to Kill;Action;71
1982;128;Conan the Barbarian;Action;45
1991;91;Raw Nerve;Mystery;88
1970;94;Think Dirty;Comedy;31
1982;108;King of Comedy;Drama;84
1983;60;Best of the Big Laff Off, The;Comedy;20
1984;158;Amadeus;Drama;6
1973;101;White Lightning;Action;54
1988;172;Unbearable Lightness of Being, The;Drama;5
1972;124;Life & Times of Judge Roy Bean, The;Western;65
1970;137;Airport;Drama;0
1973;116;Day for Night;Drama;10
1952;107;Secrets of Women;Comedy;66
1976;116;Burnt Offerings;Horror;35
1969;94;Easy Rider;Drama;36
1991;98;Five Easy Pieces;Drama;2
1974;144;Day of the Locust, The;Drama;81
1964;112;Goldfinger;Action;77
1977;117;Exorcist II, The Heretic;Horror;29
1953;61;White Lightning;Drama;40
1942;88;Lady for a Night;Drama;12
1968;103;Charly;Drama;38
1973;105;High Plains Drifter;Western;57
1982;123;Honkytonk Man;Drama;69
1990;102;Nightbreed;Horror;72
